ID,PROGRAMME,EMAIL,PHONE NUMBER,LEVEL,DATE,STATUS
27,CYBER SECURITY ENGINEERING,student27@school.edu,0244494900,400,2022-05-02,Active
28,CYBER SECURITY ENGINEERING,student28@school.edu,0249667005,200,2024-11-18,Active
29,ELCTRICAL ENGINEERING,student29@school.edu,0245750143,100,2025-03-19,Active
30,LAB TECH,student30@school.edu,0245722240,300,2022-11-26,Active
31,MECH ENGINEERING,student31@school.edu,0245184013,400,2022-12-23,Active
32,MECH ENGINEERING,student32@school.edu,0242401332,200,2023-03-20,Active
33,MECH ENGINEERING,student33@school.edu,0249173153,100,2024-04-24,Active
34,MEDILAB,student34@school.edu,0242703116,200,2022-04-20,Active
35,MECH ENGINEERING,student35@school.edu,0248565438,300,2025-01-03,Active
36,MECH ENGINEERING,student36@school.edu,0247393988,400,2024-09-10,Active
37,ACCOUNTING,student37@school.edu,0246352872,400,2025-07-19,Active
38,PURCHASING & SUPPLY,student38@school.edu,0244529600,400,2023-09-01,Active
39,ELCTRICAL ENGINEERING,student39@school.edu,0242990577,300,2023-04-09,Active
40,MEDILAB,student40@school.edu,0241551265,300,2022-09-15,Active
41,COMPUTER SOFTWARE,student41@school.edu,0249847349,400,2025-05-12,Active
42,MEDILAB,student42@school.edu,0248654277,200,2025-07-13,Active
43,ELCTRICAL ENGINEERING,student43@school.edu,0246401580,400,2024-11-20,Active
44,MEDILAB,student44@school.edu,0245969918,200,2025-12-29,Active
45,CYBER SECURITY ENGINEERING,student45@school.edu,0246128316,100,2025-05-07,Active
46,HCIM,student46@school.edu,0241296548,200,2024-01-31,Active
47,LAB TECH,student47@school.edu,0241679165,300,2023-04-03,Active
48,PURCHASING & SUPPLY,student48@school.edu,0245840259,400,2022-09-16,Active
49,PURCHASING & SUPPLY,student49@school.edu,0243202781,300,2025-09-06,Active
50,ELCTRICAL ENGINEERING,student50@school.edu,0242518594,400,2022-09-06,Active
51,CYBER SECURITY ENGINEERING,student51@school.edu,0244744061,300,2023-06-18,Active
52,ACCOUNTING,student52@school.edu,0246379352,300,2023-09-11,Active
53,LAB TECH,student53@school.edu,0243251241,300,2022-09-07,Active
54,ACCOUNTING,student54@school.edu,0249733416,200,2025-09-07,Active
55,PURCHASING & SUPPLY,student55@school.edu,0249769860,200,2023-03-05,Active
56,MECH ENGINEERING,student56@school.edu,0248029843,300,2025-07-13,Active
57,PURCHASING & SUPPLY,student57@school.edu,0246858910,200,2023-02-28,Active
58,MECH ENGINEERING,student58@school.edu,0245240715,400,2023-06-14,Active
59,CYBER SECURITY ENGINEERING,student59@school.edu,0247695729,100,2025-01-21,Active
60,CIVIL ENGINEERING,student60@school.edu,0241835776,100,2025-10-09,Active
61,MEDILAB,student61@school.edu,0248507767,200,2025-09-11,Active
62,HCIM,student62@school.edu,0243364360,100,2022-09-29,Active
63,MEDILAB,student63@school.edu,0244146707,300,2024-05-24,Active
64,ELCTRICAL ENGINEERING,student64@school.edu,0245765453,200,2023-10-17,Active
65,ELCTRICAL ENGINEERING,student65@school.edu,0249757500,400,2025-08-13,Active
66,CIVIL ENGINEERING,student66@school.edu,0243971833,400,2025-03-23,Active
67,COMPUTER SOFTWARE,student67@school.edu,0241696225,200,2023-06-12,Active
68,LAB TECH,student68@school.edu,0246959621,100,2025-11-30,Active
69,CIVIL ENGINEERING,student69@school.edu,0247011179,100,2025-09-30,Active
70,MECH ENGINEERING,student70@school.edu,0243882632,100,2025-04-21,Active
71,PURCHASING & SUPPLY,student71@school.edu,0249428608,100,2022-08-28,Active
72,CIVIL ENGINEERING,student72@school.edu,0247425730,400,2023-07-14,Active
73,ELCTRICAL ENGINEERING,student73@school.edu,0249054312,400,2022-07-13,Active
74,LAB TECH,student74@school.edu,0248491286,100,2022-07-09,Active
75,COMPUTER SOFTWARE,student75@school.edu,0249504923,100,2025-11-02,Active
76,ELCTRICAL ENGINEERING,student76@school.edu,0241499629,100,2022-02-13,Active
77,HCIM,student77@school.edu,0249518649,400,2022-05-17,Active
78,PURCHASING & SUPPLY,student78@school.edu,0246761209,400,2024-08-30,Active
79,ELCTRICAL ENGINEERING,student79@school.edu,0248586779,300,2023-03-24,Active
80,ACCOUNTING,student80@school.edu,0249423785,200,2024-09-04,Active
81,CIVIL ENGINEERING,student81@school.edu,0243540778,100,2023-05-29,Active
82,ELCTRICAL ENGINEERING,student82@school.edu,0245821654,200,2024-11-15,Active
83,MEDILAB,student83@school.edu,0244596872,100,2022-09-14,Active
84,LAB TECH,student84@school.edu,0247146468,200,2025-04-17,Active
85,ELCTRICAL ENGINEERING,student85@school.edu,0242621004,300,2025-02-01,Active
86,MEDILAB,student86@school.edu,0248216241,300,2024-01-06,Active
87,MECH ENGINEERING,student87@school.edu,0246684754,300,2024-02-15,Active
88,LAB TECH,student88@school.edu,0243288105,300,2025-11-08,Active
89,MECH ENGINEERING,student89@school.edu,0241818700,300,2022-10-30,Active
90,HCIM,student90@school.edu,0243100329,400,2022-04-05,Active
91,CIVIL ENGINEERING,student91@school.edu,0242590263,200,2022-05-09,Active
92,COMPUTER SOFTWARE,student92@school.edu,0245531582,400,2024-06-17,Active
93,MEDILAB,student93@school.edu,0244319955,400,2023-07-28,Active
94,PURCHASING & SUPPLY,student94@school.edu,0245362635,400,2023-07-08,Active
95,ACCOUNTING,student95@school.edu,0249745530,200,2022-11-27,Active
96,LAB TECH,student96@school.edu,0241799799,200,2025-07-10,Active
97,ELCTRICAL ENGINEERING,student97@school.edu,0245293103,200,2022-07-20,Active
98,MECH ENGINEERING,student98@school.edu,0249429043,400,2025-10-22,Active
99,PURCHASING & SUPPLY,student99@school.edu,0249990836,200,2023-04-27,Active
100,LAB TECH,student100@school.edu,0248739165,300,2025-09-04,Active
101,MEDILAB,student101@school.edu,0244714937,400,2023-06-04,Active
102,LAB TECH,student102@school.edu,0241164005,300,2025-10-24,Active
103,CYBER SECURITY ENGINEERING,student103@school.edu,0242912504,300,2024-11-28,Active
104,LAB TECH,student104@school.edu,0244928092,200,2025-12-20,Active
105,CIVIL ENGINEERING,student105@school.edu,0242763440,200,2025-07-14,Active
106,HCIM,student106@school.edu,0245210208,300,2022-04-12,Active
107,PURCHASING & SUPPLY,student107@school.edu,0248906880,400,2025-04-28,Active
108,ACCOUNTING,student108@school.edu,0241424056,300,2024-02-27,Active
109,ACCOUNTING,student109@school.edu,0246365280,200,2024-09-28,Active
110,MEDILAB,student110@school.edu,0248632030,400,2024-06-30,Active
111,CYBER SECURITY ENGINEERING,student111@school.edu,0243954991,100,2024-07-04,Active
112,ELCTRICAL ENGINEERING,student112@school.edu,0241013200,200,2023-11-24,Active
113,HCIM,student113@school.edu,0249491601,400,2023-03-05,Active
114,LAB TECH,student114@school.edu,0243683625,100,2024-12-07,Active
115,LAB TECH,student115@school.edu,0244466074,300,2022-05-15,Active
116,LAB TECH,student116@school.edu,0245519951,200,2023-01-15,Active
117,HCIM,student117@school.edu,0246866287,100,2025-03-16,Active
118,MECH ENGINEERING,student118@school.edu,0242400214,200,2023-02-15,Active
119,CYBER SECURITY ENGINEERING,student119@school.edu,0245090859,200,2024-01-08,Active
120,LAB TECH,student120@school.edu,0243030912,100,2023-08-04,Active
121,CIVIL ENGINEERING,student121@school.edu,0246289160,300,2025-11-12,Active
122,HCIM,student122@school.edu,0244382706,300,2022-02-06,Active
123,CIVIL ENGINEERING,student123@school.edu,0249012126,100,2022-07-11,Active
124,ACCOUNTING,student124@school.edu,0248908300,400,2024-09-24,Active
125,ACCOUNTING,student125@school.edu,0248993550,300,2025-12-02,Active
126,MEDILAB,student126@school.edu,0244143145,400,2022-07-10,Active
127,CIVIL ENGINEERING,student127@school.edu,0248860964,100,2024-09-12,Active
128,CIVIL ENGINEERING,student128@school.edu,0249535705,200,2025-09-21,Active
129,PURCHASING & SUPPLY,student129@school.edu,0243341343,100,2023-12-12,Active
130,PURCHASING & SUPPLY,student130@school.edu,0245035716,300,2023-02-05,Active
131,ACCOUNTING,student131@school.edu,0241850010,300,2023-01-19,Active
132,MECH ENGINEERING,student132@school.edu,0241445967,200,2023-07-03,Active
133,ACCOUNTING,student133@school.edu,0249965480,100,2025-12-24,Active
134,ELCTRICAL ENGINEERING,student134@school.edu,0241636735,200,2025-06-19,Active
135,COMPUTER SOFTWARE,student135@school.edu,0242371061,100,2023-12-11,Active
136,PURCHASING & SUPPLY,student136@school.edu,0243005275,200,2022-09-09,Active
137,LAB TECH,student137@school.edu,0248207752,300,2024-04-17,Active
138,MEDILAB,student138@school.edu,0249401314,400,2024-10-20,Active
139,LAB TECH,student139@school.edu,0249181050,300,2025-05-21,Active
140,HCIM,student140@school.edu,0249638467,300,2024-04-21,Active
141,ACCOUNTING,student141@school.edu,0247343511,300,2024-04-25,Active
142,CYBER SECURITY ENGINEERING,student142@school.edu,0249837795,100,2025-11-27,Active
143,MECH ENGINEERING,student143@school.edu,0248727156,200,2025-12-31,Active
144,LAB TECH,student144@school.edu,0245448262,100,2022-05-25,Active
145,COMPUTER SOFTWARE,student145@school.edu,0243501008,200,2022-09-20,Active
146,LAB TECH,student146@school.edu,0242543327,200,2022-12-02,Active
147,CYBER SECURITY ENGINEERING,student147@school.edu,0242632883,100,2024-08-04,Active
148,CIVIL ENGINEERING,student148@school.edu,0247432334,200,2024-08-26,Active
149,LAB TECH,student149@school.edu,0243091770,400,2022-10-14,Active
150,PURCHASING & SUPPLY,student150@school.edu,0244396611,200,2023-12-11,Active
151,LAB TECH,student151@school.edu,0246301318,400,2024-10-20,Active
152,ACCOUNTING,student152@school.edu,0247139443,400,2025-05-24,Active
153,ELCTRICAL ENGINEERING,student153@school.edu,0241576093,300,2022-12-04,Active
154,ACCOUNTING,student154@school.edu,0241114461,200,2023-06-12,Active
155,COMPUTER SOFTWARE,student155@school.edu,0243816568,200,2024-07-23,Active
156,ACCOUNTING,student156@school.edu,0245296871,400,2022-05-10,Active
157,CIVIL ENGINEERING,student157@school.edu,0249606709,200,2022-05-03,Active
158,ACCOUNTING,student158@school.edu,0249829628,400,2022-04-27,Active
159,HCIM,student159@school.edu,0249122100,200,2024-12-03,Active
160,ELCTRICAL ENGINEERING,student160@school.edu,0246488926,200,2022-07-02,Active
161,CIVIL ENGINEERING,student161@school.edu,0242060073,200,2024-11-12,Active
162,ACCOUNTING,student162@school.edu,0247956229,400,2025-11-27,Active
163,LAB TECH,student163@school.edu,0241353259,300,2023-07-09,Active
164,ACCOUNTING,student164@school.edu,0249546739,100,2023-07-29,Active
165,CYBER SECURITY ENGINEERING,student165@school.edu,0242318641,300,2023-08-30,Active
166,ACCOUNTING,student166@school.edu,0245768644,200,2025-02-18,Active
167,PURCHASING & SUPPLY,student167@school.edu,0245955221,400,2023-05-16,Active
168,CIVIL ENGINEERING,student168@school.edu,0241384024,400,2025-02-02,Active
169,MEDILAB,student169@school.edu,0241837607,400,2023-02-21,Active
170,PURCHASING & SUPPLY,student170@school.edu,0243432598,200,2024-11-06,Active
171,ACCOUNTING,student171@school.edu,0241481123,300,2025-07-11,Active
172,MEDILAB,student172@school.edu,0247700893,300,2022-10-20,Active
173,ACCOUNTING,student173@school.edu,0241354650,400,2024-11-08,Active
174,MECH ENGINEERING,student174@school.edu,0248309937,200,2025-01-31,Active
175,MEDILAB,student175@school.edu,0241541300,200,2024-02-01,Active
176,COMPUTER SOFTWARE,student176@school.edu,0242042880,300,2023-05-09,Active
177,MEDILAB,student177@school.edu,0243872919,200,2025-05-27,Active
178,CYBER SECURITY ENGINEERING,student178@school.edu,0244524885,200,2024-09-16,Active
179,HCIM,student179@school.edu,0241869483,100,2025-06-28,Active
180,CYBER SECURITY ENGINEERING,student180@school.edu,0243339005,300,2023-08-20,Active
181,MECH ENGINEERING,student181@school.edu,0243878484,200,2022-10-12,Active
182,ELCTRICAL ENGINEERING,student182@school.edu,0246052926,400,2022-08-07,Active
183,ACCOUNTING,student183@school.edu,0245423505,200,2025-04-18,Active
184,ELCTRICAL ENGINEERING,student184@school.edu,0249229925,100,2024-06-02,Active
185,COMPUTER SOFTWARE,student185@school.edu,0246101796,100,2025-12-24,Active
186,MEDILAB,student186@school.edu,0244041883,300,2022-11-27,Active
187,MECH ENGINEERING,student187@school.edu,0245155014,300,2023-06-29,Active
188,COMPUTER SOFTWARE,student188@school.edu,0248194889,200,2024-10-22,Active
189,ACCOUNTING,student189@school.edu,0247690991,300,2025-05-10,Active
190,CYBER SECURITY ENGINEERING,student190@school.edu,0249003806,400,2025-12-18,Active
191,MECH ENGINEERING,student191@school.edu,0243062674,400,2025-10-26,Active
192,MECH ENGINEERING,student192@school.edu,0246214325,200,2022-05-09,Active
193,CIVIL ENGINEERING,student193@school.edu,0249796416,400,2024-12-24,Active
194,PURCHASING & SUPPLY,student194@school.edu,0245551192,200,2024-07-26,Active
195,MECH ENGINEERING,student195@school.edu,0245408062,100,2023-11-16,Active
196,ACCOUNTING,student196@school.edu,0245500661,100,2022-10-25,Active
197,PURCHASING & SUPPLY,student197@school.edu,0245426434,100,2025-09-21,Active
198,PURCHASING & SUPPLY,student198@school.edu,0241906864,200,2023-04-29,Active
199,ELCTRICAL ENGINEERING,student199@school.edu,0244461867,400,2024-05-21,Active
200,PURCHASING & SUPPLY,student200@school.edu,0244055224,300,2025-08-14,Active
201,MEDILAB,student201@school.edu,0243531877,100,2024-05-03,Active
202,MECH ENGINEERING,student202@school.edu,0243110281,400,2022-12-11,Active
203,ACCOUNTING,student203@school.edu,0241413024,100,2025-05-18,Active
204,HCIM,student204@school.edu,0244052128,200,2023-01-11,Active
205,ACCOUNTING,student205@school.edu,0244677310,100,2025-01-02,Active
206,MECH ENGINEERING,student206@school.edu,0247053456,300,2023-01-17,Active
207,ACCOUNTING,student207@school.edu,0246625443,100,2023-05-07,Active
208,CYBER SECURITY ENGINEERING,student208@school.edu,0245703595,300,2024-11-13,Active
209,CIVIL ENGINEERING,student209@school.edu,0247114538,300,2025-02-01,Active
210,MECH ENGINEERING,student210@school.edu,0243753929,300,2025-02-10,Active
211,HCIM,student211@school.edu,0241978638,400,2023-10-04,Active
212,CIVIL ENGINEERING,student212@school.edu,0246969153,400,2025-03-08,Active
213,ELCTRICAL ENGINEERING,student213@school.edu,0246432579,100,2025-05-21,Active
214,CIVIL ENGINEERING,student214@school.edu,0248936996,100,2022-12-21,Active
215,PURCHASING & SUPPLY,student215@school.edu,0244122328,400,2023-04-27,Active
216,HCIM,student216@school.edu,0248104298,300,2023-12-20,Active
217,MEDILAB,student217@school.edu,0241296247,400,2023-01-31,Active
218,ACCOUNTING,student218@school.edu,0246297648,100,2025-02-17,Active
219,MEDILAB,student219@school.edu,0249723139,100,2022-10-31,Active
220,LAB TECH,student220@school.edu,0244994316,100,2023-09-08,Active
221,CYBER SECURITY ENGINEERING,student221@school.edu,0249056372,400,2023-12-27,Active
222,HCIM,student222@school.edu,0248752516,300,2025-01-26,Active
223,ACCOUNTING,student223@school.edu,0245297443,400,2023-05-25,Active
224,MEDILAB,student224@school.edu,0246387756,300,2025-02-23,Active
225,ACCOUNTING,student225@school.edu,0241446468,200,2022-08-07,Active
226,PURCHASING & SUPPLY,student226@school.edu,0241730095,300,2024-06-10,Active
227,ACCOUNTING,student227@school.edu,0246204177,300,2023-05-28,Active
228,MEDILAB,student228@school.edu,0247743352,100,2022-03-14,Active
229,CIVIL ENGINEERING,student229@school.edu,0241186083,100,2024-08-04,Active
230,CYBER SECURITY ENGINEERING,student230@school.edu,0248401994,400,2023-07-09,Active
231,CIVIL ENGINEERING,student231@school.edu,0242554100,200,2023-08-09,Active
232,LAB TECH,student232@school.edu,0242433624,200,2025-07-26,Active
233,COMPUTER SOFTWARE,student233@school.edu,0247195457,100,2023-07-05,Active
234,PURCHASING & SUPPLY,student234@school.edu,0246064576,200,2022-11-12,Active
235,MEDILAB,student235@school.edu,0248659124,400,2022-04-07,Active
236,CYBER SECURITY ENGINEERING,student236@school.edu,0246401798,200,2023-04-09,Active
237,MECH ENGINEERING,student237@school.edu,0248156862,200,2023-04-05,Active
238,COMPUTER SOFTWARE,student238@school.edu,0245246380,400,2023-01-16,Active
239,ACCOUNTING,student239@school.edu,0245684847,100,2024-09-17,Active
240,HCIM,student240@school.edu,0248797530,400,2024-06-01,Active
241,ACCOUNTING,student241@school.edu,0247052441,100,2023-10-20,Active
242,CIVIL ENGINEERING,student242@school.edu,0244693554,100,2025-10-31,Active
243,MECH ENGINEERING,student243@school.edu,0242892489,200,2023-12-06,Active
244,CYBER SECURITY ENGINEERING,student244@school.edu,0245823578,400,2025-04-09,Active
245,PURCHASING & SUPPLY,student245@school.edu,0244920629,100,2023-01-05,Active
246,COMPUTER SOFTWARE,student246@school.edu,0248588873,100,2022-08-07,Active
247,CYBER SECURITY ENGINEERING,student247@school.edu,0243978747,200,2023-10-14,Active
248,ACCOUNTING,student248@school.edu,0245883522,100,2025-11-05,Active
249,MECH ENGINEERING,student249@school.edu,0245003115,300,2024-06-18,Active
250,ELCTRICAL ENGINEERING,student250@school.edu,0244674397,400,2024-01-27,Active
251,COMPUTER SOFTWARE,student251@school.edu,0244493957,300,2025-11-06,Active
252,MECH ENGINEERING,student252@school.edu,0241117813,300,2022-09-13,Active
253,CIVIL ENGINEERING,student253@school.edu,0242359351,200,2025-06-25,Active
254,ELCTRICAL ENGINEERING,student254@school.edu,0244918065,400,2025-07-29,Active
255,CYBER SECURITY ENGINEERING,student255@school.edu,0244260863,200,2023-05-25,Active
256,ELCTRICAL ENGINEERING,student256@school.edu,0245613025,100,2022-03-11,Active
257,MECH ENGINEERING,student257@school.edu,0242500345,200,2022-12-06,Active
258,CIVIL ENGINEERING,student258@school.edu,0247278903,100,2022-09-12,Active
259,MECH ENGINEERING,student259@school.edu,0245507726,300,2025-06-11,Active
260,COMPUTER SOFTWARE,student260@school.edu,0248256087,300,2022-09-26,Active
261,HCIM,student261@school.edu,0243793076,400,2025-11-11,Active
262,MEDILAB,student262@school.edu,0249326393,300,2022-05-01,Active
263,HCIM,student263@school.edu,0248443588,300,2022-07-07,Active
264,LAB TECH,student264@school.edu,0247717419,200,2022-05-10,Active
265,CYBER SECURITY ENGINEERING,student265@school.edu,0243211495,300,2023-12-19,Active
266,HCIM,student266@school.edu,0248201192,400,2024-11-13,Active
267,ACCOUNTING,student267@school.edu,0248660741,300,2023-06-26,Active
268,HCIM,student268@school.edu,0247846635,100,2022-03-20,Active
269,PURCHASING & SUPPLY,student269@school.edu,0248744850,200,2024-02-27,Active
270,ACCOUNTING,student270@school.edu,0249150467,200,2024-06-15,Active
271,LAB TECH,student271@school.edu,0249259955,200,2023-09-06,Inactive
272,HCIM,student272@school.edu,0241582757,400,2023-02-20,Inactive
273,ACCOUNTING,student273@school.edu,0248862071,300,2023-05-08,Inactive
274,PURCHASING & SUPPLY,student274@school.edu,0249211373,300,2023-11-21,Inactive
275,MEDILAB,student275@school.edu,0249818442,400,2024-02-07,Inactive
276,ELCTRICAL ENGINEERING,student276@school.edu,0246604149,100,2022-09-29,Inactive
277,PURCHASING & SUPPLY,student277@school.edu,0241988181,300,2025-10-13,Inactive
278,CIVIL ENGINEERING,student278@school.edu,0247124953,300,2022-05-30,Inactive
279,MECH ENGINEERING,student279@school.edu,0241849529,300,2024-12-25,Inactive
280,PURCHASING & SUPPLY,student280@school.edu,0249580447,200,2024-10-09,Inactive
281,COMPUTER SOFTWARE,student281@school.edu,0241580511,100,2022-04-19,Inactive
282,MECH ENGINEERING,student282@school.edu,0249138610,100,2024-03-23,Inactive
283,CYBER SECURITY ENGINEERING,student283@school.edu,0244316627,400,2024-05-18,Inactive
284,ACCOUNTING,student284@school.edu,0246407558,200,2024-07-04,Inactive
285,ACCOUNTING,student285@school.edu,0246793073,400,2022-10-05,Inactive
286,CYBER SECURITY ENGINEERING,student286@school.edu,0247197059,300,2025-11-06,Inactive
287,COMPUTER SOFTWARE,student287@school.edu,0245565972,200,2025-07-11,Inactive
288,HCIM,student288@school.edu,0241467408,200,2023-07-17,Inactive
289,CIVIL ENGINEERING,student289@school.edu,0244297809,400,2022-11-18,Inactive
290,ACCOUNTING,student290@school.edu,0245752770,300,2023-05-16,Inactive
291,COMPUTER SOFTWARE,student291@school.edu,0248240910,200,2025-09-22,Inactive
292,MECH ENGINEERING,student292@school.edu,0245666463,200,2025-07-30,Inactive
293,ACCOUNTING,student293@school.edu,0243221797,200,2022-08-14,Inactive
294,ELCTRICAL ENGINEERING,student294@school.edu,0245637052,100,2023-02-05,Inactive
295,CYBER SECURITY ENGINEERING,student295@school.edu,0242291197,400,2022-06-23,Inactive
296,MECH ENGINEERING,student296@school.edu,0248797111,200,2025-02-21,Inactive
297,COMPUTER SOFTWARE,student297@school.edu,0244736868,100,2022-06-21,Inactive
298,HCIM,student298@school.edu,0249693611,400,2025-11-12,Inactive
299,COMPUTER SOFTWARE,student299@school.edu,0248801758,100,2025-11-25,Inactive
300,HCIM,student300@school.edu,0241158270,400,2022-02-28,Inactive
301,CIVIL ENGINEERING,student301@school.edu,0245084231,300,2025-08-20,Inactive
302,LAB TECH,student302@school.edu,0242362141,100,2024-01-29,Inactive
303,MEDILAB,student303@school.edu,0248824273,300,2022-10-22,Inactive
304,ELCTRICAL ENGINEERING,student304@school.edu,0249060205,100,2024-09-16,Inactive
305,MECH ENGINEERING,student305@school.edu,0248101211,200,2024-05-19,Inactive
306,MEDILAB,student306@school.edu,0249847165,100,2024-09-15,Inactive
307,ELCTRICAL ENGINEERING,student307@school.edu,0242061412,100,2023-09-24,Inactive
308,CYBER SECURITY ENGINEERING,student308@school.edu,0249765240,300,2025-08-13,Inactive
309,HCIM,student309@school.edu,0248870199,200,2025-08-28,Inactive
310,MECH ENGINEERING,student310@school.edu,0244166849,100,2024-05-08,Inactive
311,ACCOUNTING,student311@school.edu,0243930779,300,2024-03-06,Inactive
312,LAB TECH,student312@school.edu,0246467478,100,2024-10-06,Inactive
313,ACCOUNTING,student313@school.edu,0245578617,100,2024-10-06,Inactive
314,CYBER SECURITY ENGINEERING,student314@school.edu,0248624379,300,2025-05-25,Inactive
315,CIVIL ENGINEERING,student315@school.edu,0249986744,200,2025-10-29,Inactive
316,HCIM,student316@school.edu,0246812928,300,2022-04-30,Inactive
317,ACCOUNTING,student317@school.edu,0249724166,400,2022-06-18,Inactive
318,CYBER SECURITY ENGINEERING,student318@school.edu,0248724826,400,2023-10-21,Inactive
319,MEDILAB,student319@school.edu,0247595347,200,2022-08-11,Inactive
320,MECH ENGINEERING,student320@school.edu,0241124545,300,2023-05-22,Inactive
321,ACCOUNTING,student321@school.edu,0242471348,100,2025-05-23,Inactive
322,MECH ENGINEERING,student322@school.edu,0247341020,100,2023-12-24,Inactive
323,PURCHASING & SUPPLY,student323@school.edu,0246577584,100,2025-06-19,Inactive
324,HCIM,student324@school.edu,0245271922,400,2023-09-12,Inactive
325,CIVIL ENGINEERING,student325@school.edu,0242217899,200,2025-01-26,Inactive
326,MECH ENGINEERING,student326@school.edu,0244179376,200,2022-08-13,Inactive
327,LAB TECH,student327@school.edu,0241310508,300,2023-01-11,Inactive
328,CYBER SECURITY ENGINEERING,student328@school.edu,0243420686,200,2024-06-25,Inactive
329,PURCHASING & SUPPLY,student329@school.edu,0242102690,300,2024-10-27,Inactive
330,ELCTRICAL ENGINEERING,student330@school.edu,0247438108,400,2024-08-16,Inactive
331,MEDILAB,student331@school.edu,0247092285,200,2025-09-27,Inactive
332,LAB TECH,student332@school.edu,0241552234,100,2022-08-30,Inactive
333,COMPUTER SOFTWARE,student333@school.edu,0243862914,100,2025-05-21,Inactive
334,COMPUTER SOFTWARE,student334@school.edu,0245994927,300,2023-06-05,Inactive
335,COMPUTER SOFTWARE,student335@school.edu,0249503046,300,2022-07-15,Inactive
336,ACCOUNTING,student336@school.edu,0248758403,400,2022-01-06,Inactive
337,HCIM,student337@school.edu,0242729962,200,2024-05-08,Inactive
338,LAB TECH,student338@school.edu,0243421544,400,2022-02-10,Inactive
339,MECH ENGINEERING,student339@school.edu,0241519281,200,2022-03-28,Inactive
340,LAB TECH,student340@school.edu,0245153041,300,2024-02-20,Inactive
341,PURCHASING & SUPPLY,student341@school.edu,0249743307,100,2024-12-14,Inactive
342,CIVIL ENGINEERING,student342@school.edu,0245508009,400,2025-09-15,Inactive
343,MECH ENGINEERING,student343@school.edu,0248255161,100,2025-02-04,Inactive
344,PURCHASING & SUPPLY,student344@school.edu,0247402074,200,2022-07-24,Inactive
345,HCIM,student345@school.edu,0242995394,100,2022-10-12,Inactive
346,LAB TECH,student346@school.edu,0243882038,100,2025-11-11,Inactive
347,ELCTRICAL ENGINEERING,student347@school.edu,0247789410,300,2024-06-17,Inactive
348,HCIM,student348@school.edu,0242568112,400,2023-04-29,Inactive
349,MEDILAB,student349@school.edu,0248811853,300,2025-04-17,Inactive
350,COMPUTER SOFTWARE,student350@school.edu,0242865884,100,2025-04-30,Inactive
